Слово                          Абс. частота    Отн. частота, %     
данных                         60                  3.7975
аномалий                       17                  1.0759
анализа                        17                  1.0759
мониторинга                    16                  1.0127
наблюдения                     15                  0.9494
наборов                        13                  0.8228
кпп                            13                  0.8228
можно                          12                  0.7595
наборы                         11                  0.6962
необходимо                     10                  0.6329
аномалии                       10                  0.6329
характеристики                 10                  0.6329
движения                       10                  0.6329
количество                     10                  0.6329
моделирования                  9                   0.5696
транспортных                   9                   0.5696
средств                        9                   0.5696
процессов                      8                   0.5063
процесса                       8                   0.5063
среда                          8                   0.5063
тип                            8                   0.5063
записи                         8                   0.5063
могут                          7                   0.4430
того                           7                   0.4430
генерации                      7                   0.4430
точками                        7                   0.4430
может                          6                   0.3797
данные                         6                   0.3797
распределенных                 6                   0.3797
автомобиль                     6                   0.3797
времени                        6                   0.3797
время                          6                   0.3797
параметры                      6                   0.3797
каждой                         6                   0.3797
только                         6                   0.3797
автомобиля                     6                   0.3797
выбрать                        6                   0.3797
процесс                        5                   0.3165
быть                           5                   0.3165
содержащих                     5                   0.3165
описывающих                    5                   0.3165
реальных                       5                   0.3165
точно                          5                   0.3165
точке                          5                   0.3165
одной                          5                   0.3165
зоны                           5                   0.3165
события                        5                   0.3165
пути                           5                   0.3165
более                          5                   0.3165
пользователь                   5                   0.3165
должен                         5                   0.3165
набора                         5                   0.3165
среды                          5                   0.3165
которого                       5                   0.3165
были                           5                   0.3165
позволяет                      5                   0.3165
различных                      4                   0.2532
типы                           4                   0.2532
случае                         4                   0.2532
наборах                        4                   0.2532
чтобы                          4                   0.2532
возможность                    4                   0.2532
которые                        4                   0.2532
получения                      4                   0.2532
моделирование                  4                   0.2532
набор                          4                   0.2532
каждого                        4                   0.2532
содержит                       4                   0.2532
характеристик                  4                   0.2532
следующие                      4                   0.2532
качестве                       4                   0.2532
режим                          4                   0.2532
запись                         4                   0.2532
нет                            4                   0.2532
apache                         4                   0.2532
объектов                       4                   0.2532
магнитной                      4                   0.2532
анализе                        3                   0.1899
один                           3                   0.1899
модель                         3                   0.1899
должна                         3                   0.1899
репрезентативных               3                   0.1899
выборок                        3                   0.1899
точность                       3                   0.1899
реальные                       3                   0.1899
максимально                    3                   0.1899
системы                        3                   0.1899
нужно                          3                   0.1899
описать                        3                   0.1899
статье                         3                   0.1899
территориях                    3                   0.1899
подход                         3                   0.1899
предполагает                   3                   0.1899
территорий                     3                   0.1899
систем                         3                   0.1899
объектом                       3                   0.1899
получить                       3                   0.1899
который                        3                   0.1899
использовать                   3                   0.1899
выполнения                     3                   0.1899
создание                       3                   0.1899
устройств                      3                   0.1899
названия                       3                   0.1899
точек                          3                   0.1899
устройства                     3                   0.1899
определить                     3                   0.1899
зон                            3                   0.1899
несколько                      3                   0.1899
одно                           3                   0.1899
временные                      3                   0.1899
дороги                         3                   0.1899
две                            3                   0.1899
зонами                         3                   0.1899
имеет                          3                   0.1899
создания                       3                   0.1899
два                            3                   0.1899
процессы                       3                   0.1899
инструментов                   3                   0.1899
иметь                          3                   0.1899
идентификатор                  3                   0.1899
транспортного                  3                   0.1899
средства                       3                   0.1899
эксперимента                   3                   0.1899
значение                       3                   0.1899
ситуация                       3                   0.1899
было                           3                   0.1899
приложения                     3                   0.1899
tomcat                         3                   0.1899
контейнер                      3                   0.1899
классы                         3                   0.1899
параметров                     3                   0.1899
была                           3                   0.1899
программы                      3                   0.1899
id                             3                   0.1899
