Слово                          Абс. частота    Отн. частота, %     
языка                          17                  1.7838
язык                           13                  1.3641
речи                           13                  1.3641
общения                        10                  1.0493
изучает                        10                  1.0493
лингвистика                    9                   0.9444
речь                           8                   0.8395
система                        7                   0.7345
деятельности                   6                   0.6296
обучения                       6                   0.6296
языком                         6                   0.6296
языке                          5                   0.5247
языковой                       5                   0.5247
собой                          4                   0.4197
стороны                        4                   0.4197
только                         4                   0.4197
фактов                         4                   0.4197
через                          4                   0.4197
языковых                       4                   0.4197
деятельность                   4                   0.4197
является                       4                   0.4197
систему                        4                   0.4197
правилам                       4                   0.4197
системы                        4                   0.4197
именно                         3                   0.3148
различные                      3                   0.3148
языкового                      3                   0.3148
слова                          3                   0.3148
наука                          3                   0.3148
теорий                         3                   0.3148
факты                          3                   0.3148
единицах                       3                   0.3148
слов                           3                   0.3148
правила                        3                   0.3148
правил                         3                   0.3148
использования                  3                   0.3148
дает                           3                   0.3148
языку                          3                   0.3148
которой                        3                   0.3148
которую                        3                   0.3148
понимания                      3                   0.3148
процесс                        3                   0.3148
таким                          3                   0.3148
образом                        3                   0.3148
данного                        3                   0.3148
определенные                   3                   0.3148
средств                        3                   0.3148
коммуникации                   3                   0.3148
этого                          3                   0.3148
знание                         3                   0.3148
языковая                       3                   0.3148
свою                           3                   0.3148
методика                       3                   0.3148
обучающегося                   3                   0.3148
помощью                        3                   0.3148
методические                   3                   0.3148
представляет                   2                   0.2099
себя                           2                   0.2099
своей                          2                   0.2099
практической                   2                   0.2099
познавательной                 2                   0.2099
человек                        2                   0.2099
свойства                       2                   0.2099
средство                       2                   0.2099
изучающая                      2                   0.2099
лингвистику                    2                   0.2099
смысле                         2                   0.2099
научная                        2                   0.2099
исследует                      2                   0.2099
языковые                       2                   0.2099
бывает                         2                   0.2099
включает                       2                   0.2099
наблюдение                     2                   0.2099
гипотез                        2                   0.2099
виде                           2                   0.2099
современной                    2                   0.2099
лингвистики                    2                   0.2099
др                             2                   0.2099
изучением                      2                   0.2099
словарный                      2                   0.2099
состав                         2                   0.2099
единиц                         2                   0.2099
словоформ                      2                   0.2099
знаков                         2                   0.2099
звуков                         2                   0.2099
системе                        2                   0.2099
сведения                       2                   0.2099
изменения                      2                   0.2099
различал                       2                   0.2099
языковую                       2                   0.2099
щерба                          2                   0.2099
говорения                      2                   0.2099
актов                          2                   0.2099
имеет                          2                   0.2099
две                            2                   0.2099
грамматики                     2                   0.2099
речевых                        2                   0.2099
следует                        2                   0.2099
этой                           2                   0.2099
иными                          2                   0.2099
словами                        2                   0.2099
актах                          2                   0.2099
средством                      2                   0.2099
пользования                    2                   0.2099
необходимо                     2                   0.2099
навыков                        2                   0.2099
